,0
S1,19.2615873015873
S2,19.178480725623583
S1,20.817709750566895
S2,20.628866213151927
S1,21.51251700680272
S2,21.508299319727893
S1,22.269795918367347
S2,22.265396825396827
S1,23.561972789115647
S2,23.51859410430839
S1,25.08902494331066
S2,24.968798185941043
S1,26.544467120181405
S2,26.408390022675736
S1,27.901972789115646
S2,27.858616780045352
S1,28.628072562358277
S2,28.583786848072563
S1,30.18190476190476
S2,30.023582766439908
S1,31.63136054421769
S2,31.47315192743764
S1,32.968163265306124
S2,32.92356009070295
S1,33.790997732426305
S2,33.648707482993196
S1,35.18904761904762
S2,35.08823129251701
S1,36.71092970521542
S2,36.53845804988662
S1,38.031950113378684
S2,37.97818594104309
S1,39.50918367346939
S2,39.42809523809524
S1,40.30605442176871
S2,40.30015873015873
S1,41.64498866213152
S2,41.603696145124715
S1,42.38541950113379
S2,42.318503401360545
S1,43.810975056689344
S2,43.768185941043086
S1,44.536802721088435
S2,44.49326530612245
S1,46.13804988662132
S2,45.94351473922902
S1,47.5633560090703
S2,47.38290249433107
S1,48.9078231292517
S2,48.832857142857144
S1,49.59961451247165
S2,49.55798185941043
S1,51.04011337868481
S2,50.99736961451247
S1,52.499909297052156
S2,52.447369614512475
S1,54.07700680272109
S2,53.89786848072563
S1,55.51133786848073
S2,55.33730158730159
S1,56.899478458049884
S2,56.787392290249436
S1,58.38326530612245
S2,58.2272335600907
S1,0.13106575963718822
S2,0.0873015873015873
S1,0.9080272108843538
S2,0.8643310657596373
S1,1.684875283446712
S2,1.630294784580499
S1,2.4620861678004538
S2,2.4070068027210887
S1,3.179183673469388
S2,3.135419501133787
S1,3.9561451247165533
S2,3.912448979591837
S1,4.732993197278912
S2,4.678412698412698
S1,5.510204081632653
S2,5.455124716553288
S1,6.232517006802722
S2,6.18875283446712
S1,7.009478458049887
S2,6.96578231292517
S1,7.786326530612245
S2,7.731746031746032
S1,8.563537414965987
S2,8.508458049886622
S1,9.28063492063492
S2,9.236870748299319
S1,10.057596371882086
S2,10.01390022675737
S1,10.834444444444445
S2,10.779863945578231
S1,11.611655328798186
S2,11.55657596371882
S1,12.323582766439909
S2,12.27981859410431
S1,13.100544217687075
S2,13.056848072562358
S1,13.877392290249434
S2,13.82281179138322
S1,14.654603174603174
S2,14.59952380952381
S1,15.37170068027211
S2,15.327936507936508
S1,16.148662131519274
S2,16.104965986394557
S1,16.925510204081633
S2,16.87092970521542
S1,17.702721088435375
S2,17.64764172335601
S1,18.425034013605444
S2,18.38126984126984
S1,19.201995464852608
S2,19.15829931972789
S1,19.978843537414967
S2,19.92426303854875
S1,20.75605442176871
S2,20.700975056689344
S1,21.47315192743764
S2,21.42938775510204
S1,22.25011337868481
S2,22.206417233560092
S1,23.026961451247168
S2,22.972380952380952
S1,23.804172335600907
S2,23.74909297052154
S1,24.51609977324263
S2,24.47233560090703
S1,25.293061224489797
S2,25.24936507936508
S1,26.069909297052156
S2,26.01532879818594
S1,26.847120181405895
S2,26.79204081632653
S1,27.56421768707483
S2,27.52045351473923
S1,28.341179138321998
S2,28.297482993197278
S1,29.118027210884353
S2,29.06344671201814
S1,29.895238095238096
S2,29.84015873015873
S1,30.617551020408165
S2,30.57378684807256
